Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","933397","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","920651.73","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","5421187.06","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","5815527.11","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","399095.42","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","446362.01","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","363451.23","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","388641.46","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","36632403","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","37432365.53","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","625767","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","735253.78","E","Valeur estimée"
